id;name_rus;element_number;element_name;info;base_value;multiplayer;grade_of_execution;scores_of_panel;total_element_score;rank
id163;Егор КОВАЛЕНКО;5;3Lz+3Tq;q;11.11;x;-0.59;10.52;28.89;8
id163;Егор КОВАЛЕНКО;6;FSSp3;;2.6;;0.42;3.02;28.89;8
id163;Егор КОВАЛЕНКО;7;CCoSp2V;nC;1.88;;0.08;1.96;28.89;8
id74;Максим ВАРАКИН;1;4T<<;<<;4.2;;-2.1;2.1;27.05;9
id74;Максим ВАРАКИН;2;3A<;<;6.4;;-3.2;3.2;27.05;9
id74;Максим ВАРАКИН;3;CCoSp2V;nS;1.88;;0.15;2.03;27.05;9
id74;Максим ВАРАКИН;4;3F+3T;;10.45;x;0.11;10.56;27.05;9
id74;Максим ВАРАКИН;5;FCSp4;;3.2;;0.45;3.65;27.05;9
id74;Максим ВАРАКИН;6;StSq1;;1.8;;0.29;2.09;27.05;9
id74;Максим ВАРАКИН;7;CSSp4;;3.0;;0.42;3.42;27.05;9
id85;Артём АЛЕЙНИКОВ;1;3A;;8.0;;-2.4;5.6;23.89;10
id85;Артём АЛЕЙНИКОВ;2;3F;;5.3;;-1.06;4.24;23.89;10
id85;Артём АЛЕЙНИКОВ;3;FCSp3;;2.8;;0.11;2.91;23.89;10
id85;Артём АЛЕЙНИКОВ;4;3Lz+COMBO;F;6.49;x;-2.95;3.54;23.89;10
id85;Артём АЛЕЙНИКОВ;5;CCoSp2V;nU;1.88;;0.15;2.03;23.89;10
id85;Артём АЛЕЙНИКОВ;6;StSq2;;2.6;;0.21;2.81;23.89;10
id85;Артём АЛЕЙНИКОВ;7;CSSp3;;2.6;;0.16;2.76;23.89;10
id83;Владимир КУЗНЕЦОВ;1;2A;;3.3;;0.26;3.56;23.86;11
id83;Владимир КУЗНЕЦОВ;2;3Lz;;5.9;;-1.06;4.84;23.86;11
id83;Владимир КУЗНЕЦОВ;3;FCSp3;;2.8;;0.17;2.97;23.86;11
id83;Владимир КУЗНЕЦОВ;4;3F+2T;;7.26;x;-1.91;5.35;23.86;11
id83;Владимир КУЗНЕЦОВ;5;StSq1;;1.8;;-0.14;1.66;23.86;11
id83;Владимир КУЗНЕЦОВ;6;CCoSp3;;3.0;;-0.12;2.88;23.86;11
id83;Владимир КУЗНЕЦОВ;7;CSSp3;;2.6;;0.0;2.6;23.86;11
id79;Даниил ПОСТАРНАКОВ;1;4T;;9.5;;-3.99;5.51;25.45;12
id79;Даниил ПОСТАРНАКОВ;2;3A;F;8.0;;-4.0;4.0;25.45;12
id79;Даниил ПОСТАРНАКОВ;3;StSq2;F;2.6;;-1.2;1.4;25.45;12
id79;Даниил ПОСТАРНАКОВ;4;FCSp3;;2.8;;0.28;3.08;25.45;12
id79;Даниил ПОСТАРНАКОВ;5;3Lzq+3T;q;11.11;x;-2.71;8.4;25.45;12
id79;Даниил ПОСТАРНАКОВ;6;CCoSp3;;3.0;;0.06;3.06;25.45;12
id79;Даниил ПОСТАРНАКОВ;7;CSSp;;0.0;;0.0;0.0;25.45;12
