budget;original_title;popularity;release_year;revenue;vote_average;vote_count
20000000;Mr. Destiny;4.414928;1990;15379253;6.1;60
20000000;Deconstructing Harry;6.280515;1997;10686841;7.3;188
20000000;Screamers;12.758848;1995;5781885;6.1;154
20000000;How Stella Got Her Groove Back;3.645263;1998;37672352;6.0;24
20000000;Beowulf;7.745765;1999;1531251;4.4;52
20000000;Hackers;14.810519;1995;7563728;6.2;406
20000000;One Eight Seven;6.476493;1997;5716080;6.5;141
20000000;Selena;7.390306;1997;60000000;7.1;115
20000000;Misery;15.020845;1990;61276872;7.6;1085
20000000;Free Willy;5.990572;1993;153698624;6.0;429
20000000;Jennifer Eight;4.620936;1992;11390479;5.8;74
20000000;Wayne's World;10.180776;1992;121697320;6.5;738
19885552;Fire in the Sky;6.118228;1993;19724334;6.5;128
19000000;From Dusk Till Dawn;15.339153;1996;25836616;6.9;1644
19000000;Sleeping with the Enemy;8.560694;1991;174999008;6.1;228
19000000;Bad Boys;9.262184;1995;141407024;6.5;1729
19000000;Picture Perfect;4.347079;1997;44332016;5.1;114
19000000;Clifford;2.459293;1994;7411659;5.3;17
